image_id,true_label,predicted_label,confidence,probabilities,second_class,second_confidence
cmtf9npgx04n4yc87eximmmr8,leaf_rust,leaf_blight,0.4837,"{""healthy"": 0.0016, ""leaf_rust"": 0.1288, ""leaf_spot"": 0.3859, ""leaf_blight"": 0.4837}",leaf_spot,0.3859
cmtf9nphu04o8yc872n591c27,leaf_rust,leaf_spot,0.7432,"{""healthy"": 0.0113, ""leaf_rust"": 0.2023, ""leaf_spot"": 0.7432, ""leaf_blight"": 0.0431}",leaf_rust,0.2023
cmtf9nphz04odyc87vh9qxut6,leaf_rust,leaf_spot,0.7308,"{""healthy"": 0.0023, ""leaf_rust"": 0.1686, ""leaf_spot"": 0.7308, ""leaf_blight"": 0.0982}",leaf_rust,0.1686
cmtf9npid04oxyc87xwkuytln,leaf_rust,leaf_spot,0.7534,"{""healthy"": 0.0081, ""leaf_rust"": 0.2228, ""leaf_spot"": 0.7534, ""leaf_blight"": 0.0157}",leaf_rust,0.2228
cmtf9npik04p7yc87a2mtvmkt,leaf_rust,leaf_spot,0.6458,"{""healthy"": 0.0022, ""leaf_rust"": 0.3245, ""leaf_spot"": 0.6458, ""leaf_blight"": 0.0275}",leaf_rust,0.3245
cmtf9npin04pcyc87dqvoim2u,leaf_rust,leaf_spot,0.8394,"{""healthy"": 0.0009, ""leaf_rust"": 0.1563, ""leaf_spot"": 0.8394, ""leaf_blight"": 0.0034}",leaf_rust,0.1563
cmtf9npir04phyc87mt9bkakk,leaf_rust,leaf_spot,0.9267,"{""healthy"": 0.0042, ""leaf_rust"": 0.0647, ""leaf_spot"": 0.9267, ""leaf_blight"": 0.0043}",leaf_rust,0.0647
cmtf9npja04q1yc87ss6o70n5,leaf_rust,leaf_spot,0.494,"{""healthy"": 0.0008, ""leaf_rust"": 0.2481, ""leaf_spot"": 0.494, ""leaf_blight"": 0.2571}",leaf_blight,0.2571
cmtf9npjd04q6yc87o4dflipm,leaf_rust,leaf_blight,0.5859,"{""healthy"": 0.0017, ""leaf_rust"": 0.3473, ""leaf_spot"": 0.0651, ""leaf_blight"": 0.5859}",leaf_rust,0.3473
cmtf9npjs04qqyc87jqpg5zf3,leaf_rust,leaf_spot,0.6524,"{""healthy"": 0.0235, ""leaf_rust"": 0.2126, ""leaf_spot"": 0.6524, ""leaf_blight"": 0.1114}",leaf_rust,0.2126
cmtf9npjw04qvyc876q2xmmia,leaf_rust,leaf_spot,0.9483,"{""healthy"": 0.0039, ""leaf_rust"": 0.042, ""leaf_spot"": 0.9483, ""leaf_blight"": 0.0059}",leaf_rust,0.042
cmtf9npjz04r0yc87n2kb2r8z,leaf_rust,leaf_spot,0.67,"{""healthy"": 0.007, ""leaf_rust"": 0.3104, ""leaf_spot"": 0.67, ""leaf_blight"": 0.0126}",leaf_rust,0.3104
cmtf9npki04rpyc87pkl9h5c1,leaf_rust,leaf_spot,0.7197,"{""healthy"": 0.0006, ""leaf_rust"": 0.2465, ""leaf_spot"": 0.7197, ""leaf_blight"": 0.0332}",leaf_rust,0.2465
cmtf9npld04styc87xv3jpk00,leaf_rust,leaf_spot,0.861,"{""healthy"": 0.0015, ""leaf_rust"": 0.1197, ""leaf_spot"": 0.861, ""leaf_blight"": 0.0178}",leaf_rust,0.1197
cmtf9npm104tnyc87ocol6jbs,leaf_rust,leaf_spot,0.5629,"{""healthy"": 0.004, ""leaf_rust"": 0.4143, ""leaf_spot"": 0.5629, ""leaf_blight"": 0.0188}",leaf_rust,0.4143
