image_id,true_label,predicted_label,confidence,probabilities,second_class,second_confidence
cmtf9mbzo04ckyc874i5z5wt1,leaf_rust,leaf_blight,0.8965,"{""healthy"": 0.0039, ""leaf_rust"": 0.06, ""leaf_spot"": 0.0395, ""leaf_blight"": 0.8965}",leaf_rust,0.06
cmtf9mcat04iyyc87369bxyd0,leaf_rust,leaf_blight,0.5752,"{""healthy"": 0.0049, ""leaf_rust"": 0.0485, ""leaf_spot"": 0.3713, ""leaf_blight"": 0.5752}",leaf_spot,0.3713
cmtf9opso054wyc87mn88oiw1,leaf_rust,leaf_blight,0.9216,"{""healthy"": 0.0007, ""leaf_rust"": 0.0248, ""leaf_spot"": 0.0529, ""leaf_blight"": 0.9216}",leaf_spot,0.0529
cmtf9opw7059wyc87lodkmjd3,leaf_rust,leaf_blight,0.4549,"{""healthy"": 0.0106, ""leaf_rust"": 0.1857, ""leaf_spot"": 0.3488, ""leaf_blight"": 0.4549}",leaf_spot,0.3488
cmtf9opwg05abyc87pvfmjl4b,leaf_rust,leaf_spot,0.5508,"{""healthy"": 0.0218, ""leaf_rust"": 0.4098, ""leaf_spot"": 0.5508, ""leaf_blight"": 0.0176}",leaf_rust,0.4098
cmtf9opxv05coyc879hxxarbd,leaf_rust,leaf_spot,0.7376,"{""healthy"": 0.0278, ""leaf_rust"": 0.2115, ""leaf_spot"": 0.7376, ""leaf_blight"": 0.0231}",leaf_rust,0.2115
cmtf9oq9j05rtyc87c9u27j1j,leaf_rust,leaf_spot,0.5026,"{""healthy"": 0.1411, ""leaf_rust"": 0.3024, ""leaf_spot"": 0.5026, ""leaf_blight"": 0.0539}",leaf_rust,0.3024
cmtf9pgty05vzyc87hqdxvite,leaf_rust,leaf_spot,0.4953,"{""healthy"": 0.0655, ""leaf_rust"": 0.3614, ""leaf_spot"": 0.4953, ""leaf_blight"": 0.0778}",leaf_rust,0.3614
cmtf9pgzj064gyc87ude9u09t,leaf_rust,leaf_spot,0.5069,"{""healthy"": 0.0037, ""leaf_rust"": 0.4769, ""leaf_spot"": 0.5069, ""leaf_blight"": 0.0126}",leaf_rust,0.4769
cmtf9rsp008hqyc876whhihxj,leaf_blight,leaf_spot,0.6139,"{""healthy"": 0.0004, ""leaf_rust"": 0.0041, ""leaf_spot"": 0.6139, ""leaf_blight"": 0.3817}",leaf_blight,0.3817
cmtf9rsqi08jeyc87cf64sm39,leaf_blight,leaf_spot,0.571,"{""healthy"": 0.004, ""leaf_rust"": 0.0576, ""leaf_spot"": 0.571, ""leaf_blight"": 0.3674}",leaf_blight,0.3674
cmtf9rsrm08ksyc87t0x1xncu,leaf_blight,leaf_spot,0.5028,"{""healthy"": 0.0305, ""leaf_rust"": 0.0889, ""leaf_spot"": 0.5028, ""leaf_blight"": 0.3779}",leaf_blight,0.3779
cmtf9rstx08npyc87qfgkco8d,leaf_blight,leaf_spot,0.6993,"{""healthy"": 0.0004, ""leaf_rust"": 0.011, ""leaf_spot"": 0.6993, ""leaf_blight"": 0.2893}",leaf_blight,0.2893
cmtf9rsx808rgyc87klglrzed,leaf_blight,leaf_spot,0.6048,"{""healthy"": 0.1026, ""leaf_rust"": 0.2056, ""leaf_spot"": 0.6048, ""leaf_blight"": 0.087}",leaf_rust,0.2056
