image_id,true_label,predicted_label,confidence,probabilities,second_class,second_confidence
cmtf9npgx04n4yc87eximmmr8,leaf_rust,leaf_spot,0.4215,"{""healthy"": 0.0242, ""leaf_rust"": 0.1827, ""leaf_spot"": 0.4215, ""leaf_blight"": 0.3717}",leaf_blight,0.3717
cmtf9nph104n9yc870pe4bfg4,leaf_rust,leaf_spot,0.5857,"{""healthy"": 0.054, ""leaf_rust"": 0.1308, ""leaf_spot"": 0.5857, ""leaf_blight"": 0.2294}",leaf_blight,0.2294
cmtf9nphn04nyyc87axfqfux2,leaf_rust,leaf_spot,0.5556,"{""healthy"": 0.0708, ""leaf_rust"": 0.1324, ""leaf_spot"": 0.5556, ""leaf_blight"": 0.2412}",leaf_blight,0.2412
cmtf9nphr04o3yc87pjkpjjkm,leaf_rust,leaf_spot,0.4124,"{""healthy"": 0.1057, ""leaf_rust"": 0.2547, ""leaf_spot"": 0.4124, ""leaf_blight"": 0.2272}",leaf_rust,0.2547
cmtf9nphu04o8yc872n591c27,leaf_rust,leaf_spot,0.5317,"{""healthy"": 0.0747, ""leaf_rust"": 0.1751, ""leaf_spot"": 0.5317, ""leaf_blight"": 0.2185}",leaf_blight,0.2185
cmtf9npir04phyc87mt9bkakk,leaf_rust,leaf_spot,0.4669,"{""healthy"": 0.1261, ""leaf_rust"": 0.1594, ""leaf_spot"": 0.4669, ""leaf_blight"": 0.2476}",leaf_blight,0.2476
cmtf9npj504pwyc8725eqghdi,leaf_rust,leaf_spot,0.4172,"{""healthy"": 0.0231, ""leaf_rust"": 0.3391, ""leaf_spot"": 0.4172, ""leaf_blight"": 0.2206}",leaf_rust,0.3391
cmtf9npjh04qbyc87nvz64yxf,leaf_rust,leaf_spot,0.417,"{""healthy"": 0.0117, ""leaf_rust"": 0.2165, ""leaf_spot"": 0.417, ""leaf_blight"": 0.3548}",leaf_blight,0.3548
cmtf9npjs04qqyc87jqpg5zf3,leaf_rust,leaf_spot,0.633,"{""healthy"": 0.0696, ""leaf_rust"": 0.0923, ""leaf_spot"": 0.633, ""leaf_blight"": 0.205}",leaf_blight,0.205
cmtf9npjw04qvyc876q2xmmia,leaf_rust,leaf_spot,0.3898,"{""healthy"": 0.1625, ""leaf_rust"": 0.2859, ""leaf_spot"": 0.3898, ""leaf_blight"": 0.1617}",leaf_rust,0.2859
cmtf9npk704rayc879kw5dfqz,leaf_rust,leaf_spot,0.4636,"{""healthy"": 0.1062, ""leaf_rust"": 0.1971, ""leaf_spot"": 0.4636, ""leaf_blight"": 0.2332}",leaf_blight,0.2332
cmtf9npki04rpyc87pkl9h5c1,leaf_rust,leaf_spot,0.3734,"{""healthy"": 0.055, ""leaf_rust"": 0.3444, ""leaf_spot"": 0.3734, ""leaf_blight"": 0.2272}",leaf_rust,0.3444
cmtf9npky04s9yc87ds4cc7kp,leaf_rust,leaf_spot,0.4245,"{""healthy"": 0.1224, ""leaf_rust"": 0.194, ""leaf_spot"": 0.4245, ""leaf_blight"": 0.2592}",leaf_blight,0.2592
cmtf9nplq04t8yc875hv0781b,leaf_rust,leaf_spot,0.5549,"{""healthy"": 0.0518, ""leaf_rust"": 0.1749, ""leaf_spot"": 0.5549, ""leaf_blight"": 0.2184}",leaf_blight,0.2184
cmtf9nplu04tdyc87gtwjjh7l,leaf_rust,leaf_spot,0.4194,"{""healthy"": 0.0376, ""leaf_rust"": 0.2233, ""leaf_spot"": 0.4194, ""leaf_blight"": 0.3197}",leaf_blight,0.3197
cmtf9npm704tsyc872iz0c4i9,leaf_rust,leaf_spot,0.3848,"{""healthy"": 0.0617, ""leaf_rust"": 0.1952, ""leaf_spot"": 0.3848, ""leaf_blight"": 0.3583}",leaf_blight,0.3583
cmtf9npmk04u7yc87nr5oa9cm,leaf_rust,leaf_spot,0.5472,"{""healthy"": 0.0267, ""leaf_rust"": 0.2074, ""leaf_spot"": 0.5472, ""leaf_blight"": 0.2187}",leaf_blight,0.2187
cmtf9npmo04ucyc87tt5p4kkg,leaf_rust,leaf_spot,0.3561,"{""healthy"": 0.0493, ""leaf_rust"": 0.337, ""leaf_spot"": 0.3561, ""leaf_blight"": 0.2576}",leaf_rust,0.337
cmtf9npna04v1yc873nj7tgbi,leaf_rust,leaf_spot,0.3636,"{""healthy"": 0.0275, ""leaf_rust"": 0.3408, ""leaf_spot"": 0.3636, ""leaf_blight"": 0.2682}",leaf_rust,0.3408
cmtf9npnf04v6yc87j8id1c56,leaf_rust,leaf_spot,0.5441,"{""healthy"": 0.0456, ""leaf_rust"": 0.1918, ""leaf_spot"": 0.5441, ""leaf_blight"": 0.2184}",leaf_blight,0.2184
cmtf9npnn04vgyc87zat0h1li,leaf_rust,leaf_blight,0.376,"{""healthy"": 0.1594, ""leaf_rust"": 0.244, ""leaf_spot"": 0.2207, ""leaf_blight"": 0.376}",leaf_rust,0.244
cmtf9npnq04vlyc875nvhteqy,leaf_rust,leaf_spot,0.4547,"{""healthy"": 0.0915, ""leaf_rust"": 0.1773, ""leaf_spot"": 0.4547, ""leaf_blight"": 0.2764}",leaf_blight,0.2764
cmtf9npnu04vqyc8751iy8rgv,leaf_rust,leaf_spot,0.4886,"{""healthy"": 0.0257, ""leaf_rust"": 0.2818, ""leaf_spot"": 0.4886, ""leaf_blight"": 0.2039}",leaf_rust,0.2818
cmtf9npo204w0yc87ly5qxr3f,leaf_rust,leaf_spot,0.4194,"{""healthy"": 0.0217, ""leaf_rust"": 0.1771, ""leaf_spot"": 0.4194, ""leaf_blight"": 0.3818}",leaf_blight,0.3818
cmtf9npo504w5yc87r3y6pufs,leaf_rust,leaf_blight,0.3776,"{""healthy"": 0.0314, ""leaf_rust"": 0.3113, ""leaf_spot"": 0.2796, ""leaf_blight"": 0.3776}",leaf_rust,0.3113
cmtf9npo904wayc87qd4gygqi,leaf_rust,leaf_spot,0.6165,"{""healthy"": 0.0362, ""leaf_rust"": 0.2148, ""leaf_spot"": 0.6165, ""leaf_blight"": 0.1325}",leaf_rust,0.2148
cmtf9npom04wpyc87zwih93mt,leaf_rust,leaf_spot,0.4673,"{""healthy"": 0.0739, ""leaf_rust"": 0.2466, ""leaf_spot"": 0.4673, ""leaf_blight"": 0.2123}",leaf_rust,0.2466
cmtf9npoq04wuyc87xketk09f,leaf_rust,leaf_spot,0.4655,"{""healthy"": 0.0653, ""leaf_rust"": 0.1879, ""leaf_spot"": 0.4655, ""leaf_blight"": 0.2813}",leaf_blight,0.2813
cmtf9npox04x4yc87evd53i2r,leaf_rust,leaf_spot,0.4385,"{""healthy"": 0.0444, ""leaf_rust"": 0.2985, ""leaf_spot"": 0.4385, ""leaf_blight"": 0.2185}",leaf_rust,0.2985
cmtf9npp504xeyc87ohdsm6fc,leaf_rust,leaf_spot,0.4541,"{""healthy"": 0.2214, ""leaf_rust"": 0.2046, ""leaf_spot"": 0.4541, ""leaf_blight"": 0.1199}",healthy,0.2214
cmtf9nppa04xjyc87d9amt58t,leaf_rust,leaf_spot,0.6409,"{""healthy"": 0.1191, ""leaf_rust"": 0.0929, ""leaf_spot"": 0.6409, ""leaf_blight"": 0.1471}",leaf_blight,0.1471
cmtf9nppq04y3yc87y64vb603,leaf_rust,leaf_spot,0.5177,"{""healthy"": 0.0439, ""leaf_rust"": 0.2356, ""leaf_spot"": 0.5177, ""leaf_blight"": 0.2029}",leaf_rust,0.2356
cmtf9nppu04y8yc87bhnkobg8,leaf_rust,leaf_spot,0.568,"{""healthy"": 0.0367, ""leaf_rust"": 0.1479, ""leaf_spot"": 0.568, ""leaf_blight"": 0.2473}",leaf_blight,0.2473
cmtf9npqe04yxyc87nn9laczx,leaf_rust,leaf_spot,0.3214,"{""healthy"": 0.0919, ""leaf_rust"": 0.2656, ""leaf_spot"": 0.3214, ""leaf_blight"": 0.3212}",leaf_blight,0.3212
cmtf9npr304zryc87ig7rc5mj,leaf_rust,leaf_spot,0.4418,"{""healthy"": 0.0212, ""leaf_rust"": 0.364, ""leaf_spot"": 0.4418, ""leaf_blight"": 0.173}",leaf_rust,0.364
cmtf9nprg0506yc878vn24hnv,leaf_rust,healthy,0.5213,"{""healthy"": 0.5213, ""leaf_rust"": 0.2156, ""leaf_spot"": 0.1605, ""leaf_blight"": 0.1026}",leaf_rust,0.2156
cmtf9rsp408hvyc87w1x9790r,leaf_blight,leaf_spot,0.3532,"{""healthy"": 0.1578, ""leaf_rust"": 0.1926, ""leaf_spot"": 0.3532, ""leaf_blight"": 0.2965}",leaf_blight,0.2965
cmtf9rsp808i0yc87m0ho3n7m,leaf_blight,leaf_rust,0.3851,"{""healthy"": 0.0907, ""leaf_rust"": 0.3851, ""leaf_spot"": 0.2357, ""leaf_blight"": 0.2885}",leaf_blight,0.2885
cmtf9rspj08ifyc87o09t8fdb,leaf_blight,leaf_spot,0.3897,"{""healthy"": 0.2059, ""leaf_rust"": 0.1093, ""leaf_spot"": 0.3897, ""leaf_blight"": 0.2951}",leaf_blight,0.2951
cmtf9rsq508izyc87myuzb1vc,leaf_blight,leaf_rust,0.4455,"{""healthy"": 0.1082, ""leaf_rust"": 0.4455, ""leaf_spot"": 0.201, ""leaf_blight"": 0.2453}",leaf_blight,0.2453
cmtf9rsq908j4yc873ivkai38,leaf_blight,leaf_spot,0.2992,"{""healthy"": 0.2146, ""leaf_rust"": 0.2254, ""leaf_spot"": 0.2992, ""leaf_blight"": 0.2608}",leaf_blight,0.2608
cmtf9rsqe08j9yc878barkky8,leaf_blight,leaf_rust,0.5644,"{""healthy"": 0.1286, ""leaf_rust"": 0.5644, ""leaf_spot"": 0.14, ""leaf_blight"": 0.1669}",leaf_blight,0.1669
cmtf9rsqu08jtyc87x3hty0yv,leaf_blight,leaf_rust,0.5036,"{""healthy"": 0.1199, ""leaf_rust"": 0.5036, ""leaf_spot"": 0.1922, ""leaf_blight"": 0.1843}",leaf_spot,0.1922
cmtf9rsr108k3yc87ju7otuju,leaf_blight,leaf_rust,0.4665,"{""healthy"": 0.0528, ""leaf_rust"": 0.4665, ""leaf_spot"": 0.2477, ""leaf_blight"": 0.233}",leaf_spot,0.2477
cmtf9rsr508k8yc87d55lmla8,leaf_blight,leaf_rust,0.3813,"{""healthy"": 0.1848, ""leaf_rust"": 0.3813, ""leaf_spot"": 0.2391, ""leaf_blight"": 0.1949}",leaf_spot,0.2391
cmtf9rsrb08kiyc87ma9qjihy,leaf_blight,leaf_spot,0.385,"{""healthy"": 0.3737, ""leaf_rust"": 0.0594, ""leaf_spot"": 0.385, ""leaf_blight"": 0.182}",healthy,0.3737
cmtf9rsrq08kxyc87lin2kfhr,leaf_blight,leaf_spot,0.3891,"{""healthy"": 0.0623, ""leaf_rust"": 0.2169, ""leaf_spot"": 0.3891, ""leaf_blight"": 0.3316}",leaf_blight,0.3316
cmtf9rss408lhyc87ybjql19o,leaf_blight,healthy,0.3826,"{""healthy"": 0.3826, ""leaf_rust"": 0.1235, ""leaf_spot"": 0.223, ""leaf_blight"": 0.2709}",leaf_blight,0.2709
cmtf9rssc08lryc875qodv1uj,leaf_blight,leaf_rust,0.5853,"{""healthy"": 0.0575, ""leaf_rust"": 0.5853, ""leaf_spot"": 0.1447, ""leaf_blight"": 0.2125}",leaf_blight,0.2125
cmtf9rsso08m6yc87ekax6xgl,leaf_blight,leaf_spot,0.3573,"{""healthy"": 0.1185, ""leaf_rust"": 0.2436, ""leaf_spot"": 0.3573, ""leaf_blight"": 0.2806}",leaf_blight,0.2806
cmtf9rsss08mbyc871a1fxhgw,leaf_blight,leaf_rust,0.329,"{""healthy"": 0.0559, ""leaf_rust"": 0.329, ""leaf_spot"": 0.3154, ""leaf_blight"": 0.2997}",leaf_spot,0.3154
cmtf9rst008mlyc87yb5tlb9k,leaf_blight,leaf_rust,0.3549,"{""healthy"": 0.1809, ""leaf_rust"": 0.3549, ""leaf_spot"": 0.1589, ""leaf_blight"": 0.3052}",leaf_blight,0.3052
cmtf9rst808mvyc87c6tiiss1,leaf_blight,leaf_rust,0.5194,"{""healthy"": 0.0613, ""leaf_rust"": 0.5194, ""leaf_spot"": 0.2424, ""leaf_blight"": 0.1769}",leaf_spot,0.2424
