image_id,true_label,predicted_label,confidence,probabilities,second_class,second_confidence
cmtf52yfr0073yc87rgjgq0lj,healthy,leaf_spot,0.4279,"{""healthy"": 0.2839, ""leaf_rust"": 0.0556, ""leaf_spot"": 0.4279, ""leaf_blight"": 0.2327}",healthy,0.2839
cmtf52yhd008myc87e1llzw6d,healthy,leaf_spot,0.4008,"{""healthy"": 0.2764, ""leaf_rust"": 0.0682, ""leaf_spot"": 0.4008, ""leaf_blight"": 0.2546}",healthy,0.2764
cmtf52yk600b9yc87qs9mpxzn,healthy,leaf_spot,0.3767,"{""healthy"": 0.3604, ""leaf_rust"": 0.1033, ""leaf_spot"": 0.3767, ""leaf_blight"": 0.1597}",healthy,0.3604
cmtf52ykk00byyc878mwb1nlt,healthy,leaf_spot,0.4774,"{""healthy"": 0.2647, ""leaf_rust"": 0.1041, ""leaf_spot"": 0.4774, ""leaf_blight"": 0.1538}",healthy,0.2647
cmtf52ykx00cnyc87hdzg9tlj,healthy,leaf_spot,0.3616,"{""healthy"": 0.332, ""leaf_rust"": 0.1603, ""leaf_spot"": 0.3616, ""leaf_blight"": 0.1462}",healthy,0.332
cmtf52yli00dmyc871gsw7rdx,healthy,leaf_spot,0.3433,"{""healthy"": 0.2527, ""leaf_rust"": 0.1183, ""leaf_spot"": 0.3433, ""leaf_blight"": 0.2857}",leaf_blight,0.2857
cmtf9mbwu048yyc87c8bw51g7,leaf_rust,leaf_blight,0.4022,"{""healthy"": 0.099, ""leaf_rust"": 0.3206, ""leaf_spot"": 0.1782, ""leaf_blight"": 0.4022}",leaf_rust,0.3206
cmtf9mbwz0493yc870obyenz7,leaf_rust,leaf_spot,0.366,"{""healthy"": 0.2687, ""leaf_rust"": 0.1786, ""leaf_spot"": 0.366, ""leaf_blight"": 0.1868}",healthy,0.2687
cmtf9mbx20498yc87e28v9fvg,leaf_rust,leaf_spot,0.5094,"{""healthy"": 0.0723, ""leaf_rust"": 0.2279, ""leaf_spot"": 0.5094, ""leaf_blight"": 0.1904}",leaf_rust,0.2279
cmtf9mbx5049dyc87xbhz1vix,leaf_rust,leaf_spot,0.354,"{""healthy"": 0.2613, ""leaf_rust"": 0.1687, ""leaf_spot"": 0.354, ""leaf_blight"": 0.216}",healthy,0.2613
cmtf9mbx8049iyc87bsfqfyic,leaf_rust,leaf_spot,0.402,"{""healthy"": 0.0372, ""leaf_rust"": 0.3193, ""leaf_spot"": 0.402, ""leaf_blight"": 0.2415}",leaf_rust,0.3193
cmtf9mbxc049nyc87opby05m9,leaf_rust,leaf_spot,0.4269,"{""healthy"": 0.2351, ""leaf_rust"": 0.1658, ""leaf_spot"": 0.4269, ""leaf_blight"": 0.1723}",healthy,0.2351
cmtf9mbxf049syc87dpkhz1uq,leaf_rust,leaf_spot,0.3648,"{""healthy"": 0.2053, ""leaf_rust"": 0.2733, ""leaf_spot"": 0.3648, ""leaf_blight"": 0.1566}",leaf_rust,0.2733
cmtf9mbxj049xyc87zr146hxv,leaf_rust,leaf_spot,0.484,"{""healthy"": 0.1397, ""leaf_rust"": 0.0774, ""leaf_spot"": 0.484, ""leaf_blight"": 0.299}",leaf_blight,0.299
cmtf9mbxl04a2yc87fzeyw8hh,leaf_rust,leaf_blight,0.3161,"{""healthy"": 0.1177, ""leaf_rust"": 0.2582, ""leaf_spot"": 0.308, ""leaf_blight"": 0.3161}",leaf_spot,0.308
cmtf9mbxs04acyc87vikhqlvt,leaf_rust,leaf_spot,0.3719,"{""healthy"": 0.1644, ""leaf_rust"": 0.2935, ""leaf_spot"": 0.3719, ""leaf_blight"": 0.1702}",leaf_rust,0.2935
cmtf9mbxx04amyc87b8a3mwtz,leaf_rust,leaf_blight,0.3838,"{""healthy"": 0.0479, ""leaf_rust"": 0.2788, ""leaf_spot"": 0.2895, ""leaf_blight"": 0.3838}",leaf_spot,0.2895
cmtf9mby104aryc870lod8wnc,leaf_rust,leaf_spot,0.4051,"{""healthy"": 0.1108, ""leaf_rust"": 0.2905, ""leaf_spot"": 0.4051, ""leaf_blight"": 0.1936}",leaf_rust,0.2905
cmtf9mby404awyc87unkc0lni,leaf_rust,leaf_spot,0.423,"{""healthy"": 0.1343, ""leaf_rust"": 0.2367, ""leaf_spot"": 0.423, ""leaf_blight"": 0.206}",leaf_rust,0.2367
cmtf9mbya04b1yc87we9wqhps,leaf_rust,leaf_blight,0.4773,"{""healthy"": 0.0317, ""leaf_rust"": 0.0519, ""leaf_spot"": 0.4391, ""leaf_blight"": 0.4773}",leaf_spot,0.4391
cmtf9mbyh04bbyc87u1ijydbd,leaf_rust,leaf_spot,0.3246,"{""healthy"": 0.2195, ""leaf_rust"": 0.2698, ""leaf_spot"": 0.3246, ""leaf_blight"": 0.1861}",leaf_rust,0.2698
cmtf9mbyl04bgyc874xr8l80u,leaf_rust,leaf_blight,0.4787,"{""healthy"": 0.093, ""leaf_rust"": 0.0335, ""leaf_spot"": 0.3948, ""leaf_blight"": 0.4787}",leaf_spot,0.3948
cmtf9mbzc04c5yc87nf4g4yzo,leaf_rust,leaf_spot,0.6039,"{""healthy"": 0.0182, ""leaf_rust"": 0.1782, ""leaf_spot"": 0.6039, ""leaf_blight"": 0.1997}",leaf_blight,0.1997
cmtf9mbzk04cfyc871jmwovrc,leaf_rust,leaf_blight,0.3467,"{""healthy"": 0.117, ""leaf_rust"": 0.2676, ""leaf_spot"": 0.2687, ""leaf_blight"": 0.3467}",leaf_spot,0.2687
cmtf9mbzo04ckyc874i5z5wt1,leaf_rust,leaf_blight,0.3692,"{""healthy"": 0.0672, ""leaf_rust"": 0.1946, ""leaf_spot"": 0.369, ""leaf_blight"": 0.3692}",leaf_spot,0.369
cmtf9mbzs04cpyc87d7fi3a52,leaf_rust,leaf_blight,0.3418,"{""healthy"": 0.0885, ""leaf_rust"": 0.27, ""leaf_spot"": 0.2996, ""leaf_blight"": 0.3418}",leaf_spot,0.2996
cmtf9mbzy04cuyc87iprdcsfy,leaf_rust,leaf_spot,0.3438,"{""healthy"": 0.0746, ""leaf_rust"": 0.3428, ""leaf_spot"": 0.3438, ""leaf_blight"": 0.2387}",leaf_rust,0.3428
cmtf9mc0a04d9yc87xzp9gk0l,leaf_rust,leaf_spot,0.3323,"{""healthy"": 0.0627, ""leaf_rust"": 0.289, ""leaf_spot"": 0.3323, ""leaf_blight"": 0.3159}",leaf_blight,0.3159
cmtf9mc0m04djyc87sh4zs5sb,leaf_rust,leaf_spot,0.3737,"{""healthy"": 0.0783, ""leaf_rust"": 0.3726, ""leaf_spot"": 0.3737, ""leaf_blight"": 0.1755}",leaf_rust,0.3726
cmtf9mc0r04doyc87k8susf10,leaf_rust,leaf_blight,0.356,"{""healthy"": 0.0731, ""leaf_rust"": 0.2506, ""leaf_spot"": 0.3203, ""leaf_blight"": 0.356}",leaf_spot,0.3203
cmtf9mc0v04dtyc8704wtss3n,leaf_rust,leaf_spot,0.5908,"{""healthy"": 0.0277, ""leaf_rust"": 0.081, ""leaf_spot"": 0.5908, ""leaf_blight"": 0.3005}",leaf_blight,0.3005
cmtf9mc1104dyyc87luv15uh4,leaf_rust,leaf_spot,0.4213,"{""healthy"": 0.1023, ""leaf_rust"": 0.205, ""leaf_spot"": 0.4213, ""leaf_blight"": 0.2714}",leaf_blight,0.2714
cmtf9mc1a04e3yc873rm40laf,leaf_rust,leaf_spot,0.3917,"{""healthy"": 0.1989, ""leaf_rust"": 0.2454, ""leaf_spot"": 0.3917, ""leaf_blight"": 0.164}",leaf_rust,0.2454
cmtf9mc1v04eiyc87zsvukmeq,leaf_rust,leaf_spot,0.3412,"{""healthy"": 0.311, ""leaf_rust"": 0.1346, ""leaf_spot"": 0.3412, ""leaf_blight"": 0.2132}",healthy,0.311
cmtf9mc2104enyc87xc0vc8kq,leaf_rust,leaf_spot,0.4223,"{""healthy"": 0.0249, ""leaf_rust"": 0.2707, ""leaf_spot"": 0.4223, ""leaf_blight"": 0.2821}",leaf_blight,0.2821
cmtf9mc2704esyc8714wdstt9,leaf_rust,leaf_spot,0.5248,"{""healthy"": 0.1553, ""leaf_rust"": 0.0804, ""leaf_spot"": 0.5248, ""leaf_blight"": 0.2395}",leaf_blight,0.2395
cmtf9mc2d04exyc87rpuykh24,leaf_rust,leaf_blight,0.3299,"{""healthy"": 0.1048, ""leaf_rust"": 0.2615, ""leaf_spot"": 0.3039, ""leaf_blight"": 0.3299}",leaf_spot,0.3039
cmtf9mc2k04f2yc877tcsuehv,leaf_rust,leaf_spot,0.4333,"{""healthy"": 0.0063, ""leaf_rust"": 0.2323, ""leaf_spot"": 0.4333, ""leaf_blight"": 0.3281}",leaf_blight,0.3281
cmtf9mc2q04f7yc877uxuwtuh,leaf_rust,leaf_spot,0.3768,"{""healthy"": 0.068, ""leaf_rust"": 0.2671, ""leaf_spot"": 0.3768, ""leaf_blight"": 0.2881}",leaf_blight,0.2881
cmtf9mc3z04g1yc87c4i7libp,leaf_rust,leaf_spot,0.5175,"{""healthy"": 0.0093, ""leaf_rust"": 0.1174, ""leaf_spot"": 0.5175, ""leaf_blight"": 0.3558}",leaf_blight,0.3558
cmtf9mc4v04ggyc87r286dyxy,leaf_rust,leaf_spot,0.4319,"{""healthy"": 0.0101, ""leaf_rust"": 0.2498, ""leaf_spot"": 0.4319, ""leaf_blight"": 0.3083}",leaf_blight,0.3083
