image_id,true_label,predicted_label,confidence,probabilities,second_class,second_confidence
cmtf9mbwz0493yc870obyenz7,leaf_rust,leaf_spot,0.4864,"{""healthy"": 0.1784, ""leaf_rust"": 0.2913, ""leaf_spot"": 0.4864, ""leaf_blight"": 0.0439}",leaf_rust,0.2913
cmtf9mbx20498yc87e28v9fvg,leaf_rust,leaf_spot,0.5584,"{""healthy"": 0.0067, ""leaf_rust"": 0.4076, ""leaf_spot"": 0.5584, ""leaf_blight"": 0.0273}",leaf_rust,0.4076
cmtf9mbx5049dyc87xbhz1vix,leaf_rust,leaf_spot,0.3633,"{""healthy"": 0.2176, ""leaf_rust"": 0.325, ""leaf_spot"": 0.3633, ""leaf_blight"": 0.0942}",leaf_rust,0.325
cmtf9mbx8049iyc87bsfqfyic,leaf_rust,leaf_spot,0.4858,"{""healthy"": 0.0041, ""leaf_rust"": 0.3727, ""leaf_spot"": 0.4858, ""leaf_blight"": 0.1374}",leaf_rust,0.3727
cmtf9mbxc049nyc87opby05m9,leaf_rust,leaf_spot,0.5495,"{""healthy"": 0.1774, ""leaf_rust"": 0.2374, ""leaf_spot"": 0.5495, ""leaf_blight"": 0.0357}",leaf_rust,0.2374
cmtf9mbxf049syc87dpkhz1uq,leaf_rust,leaf_spot,0.4482,"{""healthy"": 0.0947, ""leaf_rust"": 0.378, ""leaf_spot"": 0.4482, ""leaf_blight"": 0.0791}",leaf_rust,0.378
cmtf9mbxj049xyc87zr146hxv,leaf_rust,leaf_spot,0.5476,"{""healthy"": 0.0092, ""leaf_rust"": 0.0232, ""leaf_spot"": 0.5476, ""leaf_blight"": 0.4201}",leaf_blight,0.4201
cmtf9mbxo04a7yc87u1bhfkz5,leaf_rust,leaf_blight,0.4259,"{""healthy"": 0.0019, ""leaf_rust"": 0.3707, ""leaf_spot"": 0.2015, ""leaf_blight"": 0.4259}",leaf_rust,0.3707
cmtf9mbxs04acyc87vikhqlvt,leaf_rust,leaf_spot,0.5353,"{""healthy"": 0.0363, ""leaf_rust"": 0.3249, ""leaf_spot"": 0.5353, ""leaf_blight"": 0.1035}",leaf_rust,0.3249
cmtf9mby104aryc870lod8wnc,leaf_rust,leaf_spot,0.4633,"{""healthy"": 0.0269, ""leaf_rust"": 0.4344, ""leaf_spot"": 0.4633, ""leaf_blight"": 0.0754}",leaf_rust,0.4344
cmtf9mby404awyc87unkc0lni,leaf_rust,leaf_spot,0.4991,"{""healthy"": 0.0635, ""leaf_rust"": 0.3534, ""leaf_spot"": 0.4991, ""leaf_blight"": 0.0839}",leaf_rust,0.3534
cmtf9mbya04b1yc87we9wqhps,leaf_rust,leaf_blight,0.7079,"{""healthy"": 0.0001, ""leaf_rust"": 0.0026, ""leaf_spot"": 0.2894, ""leaf_blight"": 0.7079}",leaf_spot,0.2894
cmtf9mbyl04bgyc874xr8l80u,leaf_rust,leaf_spot,0.6565,"{""healthy"": 0.0035, ""leaf_rust"": 0.009, ""leaf_spot"": 0.6565, ""leaf_blight"": 0.331}",leaf_blight,0.331
cmtf9mbz104c0yc878ee3vnck,leaf_rust,leaf_spot,0.6018,"{""healthy"": 0.0025, ""leaf_rust"": 0.2535, ""leaf_spot"": 0.6018, ""leaf_blight"": 0.1422}",leaf_rust,0.2535
cmtf9mbzc04c5yc87nf4g4yzo,leaf_rust,leaf_spot,0.7009,"{""healthy"": 0.0013, ""leaf_rust"": 0.2368, ""leaf_spot"": 0.7009, ""leaf_blight"": 0.061}",leaf_rust,0.2368
cmtf9mbzk04cfyc871jmwovrc,leaf_rust,leaf_blight,0.6041,"{""healthy"": 0.0172, ""leaf_rust"": 0.0972, ""leaf_spot"": 0.2814, ""leaf_blight"": 0.6041}",leaf_spot,0.2814
cmtf9mbzo04ckyc874i5z5wt1,leaf_rust,leaf_blight,0.7357,"{""healthy"": 0.0009, ""leaf_rust"": 0.0372, ""leaf_spot"": 0.2262, ""leaf_blight"": 0.7357}",leaf_spot,0.2262
cmtf9mc0a04d9yc87xzp9gk0l,leaf_rust,leaf_spot,0.4268,"{""healthy"": 0.0142, ""leaf_rust"": 0.2459, ""leaf_spot"": 0.4268, ""leaf_blight"": 0.313}",leaf_blight,0.313
cmtf9mc0m04djyc87sh4zs5sb,leaf_rust,leaf_spot,0.6297,"{""healthy"": 0.0151, ""leaf_rust"": 0.2836, ""leaf_spot"": 0.6297, ""leaf_blight"": 0.0716}",leaf_rust,0.2836
cmtf9mc0r04doyc87k8susf10,leaf_rust,leaf_spot,0.3933,"{""healthy"": 0.0041, ""leaf_rust"": 0.2998, ""leaf_spot"": 0.3933, ""leaf_blight"": 0.3028}",leaf_blight,0.3028
cmtf9mc0v04dtyc8704wtss3n,leaf_rust,leaf_spot,0.7206,"{""healthy"": 0.001, ""leaf_rust"": 0.0482, ""leaf_spot"": 0.7206, ""leaf_blight"": 0.2302}",leaf_blight,0.2302
cmtf9mc1104dyyc87luv15uh4,leaf_rust,leaf_spot,0.6075,"{""healthy"": 0.0272, ""leaf_rust"": 0.2078, ""leaf_spot"": 0.6075, ""leaf_blight"": 0.1574}",leaf_rust,0.2078
cmtf9mc1a04e3yc873rm40laf,leaf_rust,leaf_spot,0.4853,"{""healthy"": 0.051, ""leaf_rust"": 0.3869, ""leaf_spot"": 0.4853, ""leaf_blight"": 0.0768}",leaf_rust,0.3869
cmtf9mc1v04eiyc87zsvukmeq,leaf_rust,leaf_spot,0.4529,"{""healthy"": 0.1544, ""leaf_rust"": 0.2892, ""leaf_spot"": 0.4529, ""leaf_blight"": 0.1035}",leaf_rust,0.2892
cmtf9mc2104enyc87xc0vc8kq,leaf_rust,leaf_spot,0.5215,"{""healthy"": 0.0033, ""leaf_rust"": 0.3936, ""leaf_spot"": 0.5215, ""leaf_blight"": 0.0815}",leaf_rust,0.3936
cmtf9mc2704esyc8714wdstt9,leaf_rust,leaf_spot,0.8979,"{""healthy"": 0.0249, ""leaf_rust"": 0.03, ""leaf_spot"": 0.8979, ""leaf_blight"": 0.0472}",leaf_blight,0.0472
cmtf9mc2k04f2yc877tcsuehv,leaf_rust,leaf_spot,0.5272,"{""healthy"": 0.0001, ""leaf_rust"": 0.3481, ""leaf_spot"": 0.5272, ""leaf_blight"": 0.1246}",leaf_rust,0.3481
cmtf9mc3z04g1yc87c4i7libp,leaf_rust,leaf_spot,0.6616,"{""healthy"": 0.0002, ""leaf_rust"": 0.0566, ""leaf_spot"": 0.6616, ""leaf_blight"": 0.2816}",leaf_blight,0.2816
cmtf9mc5z04h0yc87x9r7894k,leaf_rust,leaf_spot,0.8289,"{""healthy"": 0.0049, ""leaf_rust"": 0.0846, ""leaf_spot"": 0.8289, ""leaf_blight"": 0.0817}",leaf_rust,0.0846
cmtf9mc6804h5yc87wrhdusfd,leaf_rust,leaf_spot,0.7755,"{""healthy"": 0.0017, ""leaf_rust"": 0.0713, ""leaf_spot"": 0.7755, ""leaf_blight"": 0.1515}",leaf_blight,0.1515
cmtf9mc6t04hfyc87w2ijwpi5,leaf_rust,leaf_spot,0.5033,"{""healthy"": 0.0054, ""leaf_rust"": 0.292, ""leaf_spot"": 0.5033, ""leaf_blight"": 0.1993}",leaf_rust,0.292
cmtf9mc7d04hpyc878rjl1jbv,leaf_rust,leaf_spot,0.769,"{""healthy"": 0.0092, ""leaf_rust"": 0.1617, ""leaf_spot"": 0.769, ""leaf_blight"": 0.06}",leaf_rust,0.1617
cmtf9mc7x04hzyc87yln6wc08,leaf_rust,leaf_spot,0.5396,"{""healthy"": 0.0041, ""leaf_rust"": 0.3006, ""leaf_spot"": 0.5396, ""leaf_blight"": 0.1558}",leaf_rust,0.3006
cmtf9mc8a04i4yc87syc2l03a,leaf_rust,leaf_spot,0.4541,"{""healthy"": 0.0917, ""leaf_rust"": 0.0586, ""leaf_spot"": 0.4541, ""leaf_blight"": 0.3956}",leaf_blight,0.3956
cmtf9mc8v04i9yc874unue399,leaf_rust,leaf_spot,0.7405,"{""healthy"": 0.0047, ""leaf_rust"": 0.1698, ""leaf_spot"": 0.7405, ""leaf_blight"": 0.085}",leaf_rust,0.1698
cmtf9mcad04ioyc8751mnjbd3,leaf_rust,leaf_spot,0.6016,"{""healthy"": 0.0058, ""leaf_rust"": 0.318, ""leaf_spot"": 0.6016, ""leaf_blight"": 0.0747}",leaf_rust,0.318
cmtf9mcat04iyyc87369bxyd0,leaf_rust,leaf_blight,0.7747,"{""healthy"": 0.0001, ""leaf_rust"": 0.0032, ""leaf_spot"": 0.2221, ""leaf_blight"": 0.7747}",leaf_spot,0.2221
cmtf9mcb704j8yc87skpff7e9,leaf_rust,leaf_spot,0.5524,"{""healthy"": 0.0016, ""leaf_rust"": 0.165, ""leaf_spot"": 0.5524, ""leaf_blight"": 0.281}",leaf_blight,0.281
cmtf9mcbi04jiyc87bjafsuib,leaf_rust,leaf_spot,0.7646,"{""healthy"": 0.0004, ""leaf_rust"": 0.1126, ""leaf_spot"": 0.7646, ""leaf_blight"": 0.1223}",leaf_blight,0.1223
cmtf9mcc904k7yc87ze2q6h2o,leaf_rust,leaf_spot,0.8173,"{""healthy"": 0.0016, ""leaf_rust"": 0.0366, ""leaf_spot"": 0.8173, ""leaf_blight"": 0.1445}",leaf_blight,0.1445
cmtf9mccd04kcyc8705iqny3t,leaf_rust,leaf_spot,0.7075,"{""healthy"": 0.0029, ""leaf_rust"": 0.1203, ""leaf_spot"": 0.7075, ""leaf_blight"": 0.1693}",leaf_blight,0.1693
cmtf9mcco04kmyc87r05wnsoh,leaf_rust,leaf_spot,0.7205,"{""healthy"": 0.0074, ""leaf_rust"": 0.1689, ""leaf_spot"": 0.7205, ""leaf_blight"": 0.1032}",leaf_rust,0.1689
cmtf9mcct04kryc872h110746,leaf_rust,leaf_spot,0.6212,"{""healthy"": 0.0001, ""leaf_rust"": 0.1981, ""leaf_spot"": 0.6212, ""leaf_blight"": 0.1806}",leaf_rust,0.1981
cmtf9mcdb04l6yc876b5udsks,leaf_rust,leaf_spot,0.5814,"{""healthy"": 0.0028, ""leaf_rust"": 0.2219, ""leaf_spot"": 0.5814, ""leaf_blight"": 0.1939}",leaf_rust,0.2219
cmtf9mces04mfyc8772egar85,leaf_rust,leaf_spot,0.7223,"{""healthy"": 0.0002, ""leaf_rust"": 0.206, ""leaf_spot"": 0.7223, ""leaf_blight"": 0.0715}",leaf_rust,0.206
cmtf9rspj08ifyc87o09t8fdb,leaf_blight,leaf_spot,0.5861,"{""healthy"": 0.005, ""leaf_rust"": 0.0034, ""leaf_spot"": 0.5861, ""leaf_blight"": 0.4055}",leaf_blight,0.4055
cmtf9rsr108k3yc87ju7otuju,leaf_blight,leaf_spot,0.4748,"{""healthy"": 0.0015, ""leaf_rust"": 0.1198, ""leaf_spot"": 0.4748, ""leaf_blight"": 0.4039}",leaf_blight,0.4039
cmtf9rsr508k8yc87d55lmla8,leaf_blight,leaf_spot,0.4552,"{""healthy"": 0.0366, ""leaf_rust"": 0.126, ""leaf_spot"": 0.4552, ""leaf_blight"": 0.3822}",leaf_blight,0.3822
cmtf9rsrb08kiyc87ma9qjihy,leaf_blight,leaf_spot,0.6553,"{""healthy"": 0.1324, ""leaf_rust"": 0.0057, ""leaf_spot"": 0.6553, ""leaf_blight"": 0.2066}",leaf_blight,0.2066
cmtf9rsrq08kxyc87lin2kfhr,leaf_blight,leaf_spot,0.586,"{""healthy"": 0.0006, ""leaf_rust"": 0.0767, ""leaf_spot"": 0.586, ""leaf_blight"": 0.3368}",leaf_blight,0.3368
cmtf9rss408lhyc87ybjql19o,leaf_blight,leaf_spot,0.4821,"{""healthy"": 0.0735, ""leaf_rust"": 0.0631, ""leaf_spot"": 0.4821, ""leaf_blight"": 0.3813}",leaf_blight,0.3813
cmtf9rssc08lryc875qodv1uj,leaf_blight,leaf_rust,0.809,"{""healthy"": 0.0096, ""leaf_rust"": 0.809, ""leaf_spot"": 0.1122, ""leaf_blight"": 0.0693}",leaf_spot,0.1122
cmtf9rssk08m1yc87pqs1dcga,leaf_blight,leaf_spot,0.4482,"{""healthy"": 0.0062, ""leaf_rust"": 0.2442, ""leaf_spot"": 0.4482, ""leaf_blight"": 0.3013}",leaf_blight,0.3013
cmtf9rst808mvyc87c6tiiss1,leaf_blight,leaf_rust,0.4024,"{""healthy"": 0.0025, ""leaf_rust"": 0.4024, ""leaf_spot"": 0.2941, ""leaf_blight"": 0.301}",leaf_blight,0.301
cmtf9rsto08nfyc874r5sufow,leaf_blight,leaf_spot,0.5703,"{""healthy"": 0.0664, ""leaf_rust"": 0.1297, ""leaf_spot"": 0.5703, ""leaf_blight"": 0.2337}",leaf_blight,0.2337
cmtf9rsts08nkyc87ymv3uw57,leaf_blight,leaf_spot,0.5224,"{""healthy"": 0.0001, ""leaf_rust"": 0.0009, ""leaf_spot"": 0.5224, ""leaf_blight"": 0.4766}",leaf_blight,0.4766
cmtf9rstx08npyc87qfgkco8d,leaf_blight,leaf_spot,0.5861,"{""healthy"": 0.0079, ""leaf_rust"": 0.0415, ""leaf_spot"": 0.5861, ""leaf_blight"": 0.3644}",leaf_blight,0.3644
cmtf9rsu108nuyc87pseh61lb,leaf_blight,leaf_rust,0.4826,"{""healthy"": 0.002, ""leaf_rust"": 0.4826, ""leaf_spot"": 0.3302, ""leaf_blight"": 0.1852}",leaf_spot,0.3302
