image_id,true_label,predicted_label,confidence,probabilities,second_class,second_confidence
cmu4rvphu02k7yclnifq0ustr,leaf_blight,leaf_spot,0.58,"{""healthy"": 0.0013, ""leaf_rust"": 0.0063, ""leaf_spot"": 0.58, ""leaf_blight"": 0.4124}",leaf_blight,0.4124
cmu4rvsbo033xyclnmxp1du6e,leaf_blight,leaf_spot,0.7025,"{""healthy"": 0.0, ""leaf_rust"": 0.002, ""leaf_spot"": 0.7025, ""leaf_blight"": 0.2955}",leaf_blight,0.2955
cmu4rvtdh03bfyclnc8redqe1,leaf_blight,leaf_spot,0.7541,"{""healthy"": 0.0007, ""leaf_rust"": 0.1574, ""leaf_spot"": 0.7541, ""leaf_blight"": 0.0879}",leaf_rust,0.1574
cmu4rvwth03zvyclnve6bazfw,leaf_blight,leaf_rust,0.464,"{""healthy"": 0.0038, ""leaf_rust"": 0.464, ""leaf_spot"": 0.3202, ""leaf_blight"": 0.212}",leaf_spot,0.3202
cmu4rvxgq042xyclnkvy1zx1c,leaf_blight,leaf_spot,0.531,"{""healthy"": 0.0, ""leaf_rust"": 0.0055, ""leaf_spot"": 0.531, ""leaf_blight"": 0.4635}",leaf_blight,0.4635
cmu4rvxi90437yclnvj2u64k0,leaf_blight,leaf_spot,0.5818,"{""healthy"": 0.0003, ""leaf_rust"": 0.0349, ""leaf_spot"": 0.5818, ""leaf_blight"": 0.383}",leaf_blight,0.383
cmu4rvxjm043hyclnbpuig6kg,leaf_blight,leaf_spot,0.6493,"{""healthy"": 0.0003, ""leaf_rust"": 0.056, ""leaf_spot"": 0.6493, ""leaf_blight"": 0.2943}",leaf_blight,0.2943
cmu4rvxlt043wyclnx6my71v9,leaf_blight,leaf_spot,0.6138,"{""healthy"": 0.0008, ""leaf_rust"": 0.0145, ""leaf_spot"": 0.6138, ""leaf_blight"": 0.3709}",leaf_blight,0.3709
cmu4rvxxx0464yclnwi967je2,leaf_blight,leaf_spot,0.7465,"{""healthy"": 0.003, ""leaf_rust"": 0.0866, ""leaf_spot"": 0.7465, ""leaf_blight"": 0.164}",leaf_blight,0.164
cmu4rvxzh046eycln20z65me4,leaf_blight,leaf_spot,0.8217,"{""healthy"": 0.0163, ""leaf_rust"": 0.1214, ""leaf_spot"": 0.8217, ""leaf_blight"": 0.0406}",leaf_rust,0.1214
cmu4rvy07046jycln5uzs4n9m,leaf_blight,leaf_spot,0.525,"{""healthy"": 0.0003, ""leaf_rust"": 0.0067, ""leaf_spot"": 0.525, ""leaf_blight"": 0.4681}",leaf_blight,0.4681
cmu4rvy3x0478ycln93uzt6k2,leaf_blight,leaf_spot,0.7996,"{""healthy"": 0.0041, ""leaf_rust"": 0.1078, ""leaf_spot"": 0.7996, ""leaf_blight"": 0.0886}",leaf_rust,0.1078
cmu4rw1lz04s7yclnnjljhyd6,leaf_rust,leaf_spot,0.6202,"{""healthy"": 0.0, ""leaf_rust"": 0.3749, ""leaf_spot"": 0.6202, ""leaf_blight"": 0.005}",leaf_rust,0.3749
cmu4rw2jr04y1yclnlakf874r,leaf_rust,leaf_spot,0.8889,"{""healthy"": 0.0044, ""leaf_rust"": 0.098, ""leaf_spot"": 0.8889, ""leaf_blight"": 0.0086}",leaf_rust,0.098
cmu4rw3mh053vyclnzsv30kor,leaf_rust,leaf_spot,0.5488,"{""healthy"": 0.0082, ""leaf_rust"": 0.4179, ""leaf_spot"": 0.5488, ""leaf_blight"": 0.025}",leaf_rust,0.4179
cmu4rw4o305aeyclnb88ji2pm,leaf_rust,leaf_spot,0.7743,"{""healthy"": 0.032, ""leaf_rust"": 0.06, ""leaf_spot"": 0.7743, ""leaf_blight"": 0.1337}",leaf_blight,0.1337
cmu4rw4s005b8ycln3krwhxc3,leaf_rust,leaf_spot,0.7811,"{""healthy"": 0.0005, ""leaf_rust"": 0.1724, ""leaf_spot"": 0.7811, ""leaf_blight"": 0.0461}",leaf_rust,0.1724
cmu4rw6tj05opycln1rm1xirt,leaf_rust,leaf_spot,0.4567,"{""healthy"": 0.0006, ""leaf_rust"": 0.3744, ""leaf_spot"": 0.4567, ""leaf_blight"": 0.1684}",leaf_rust,0.3744
cmu4rw6vw05p4yclnhioau4ux,leaf_rust,leaf_spot,0.7845,"{""healthy"": 0.0134, ""leaf_rust"": 0.1403, ""leaf_spot"": 0.7845, ""leaf_blight"": 0.0618}",leaf_rust,0.1403
cmu4rw8jd05yayclnzlnfbr55,leaf_rust,leaf_spot,0.6032,"{""healthy"": 0.0035, ""leaf_rust"": 0.2246, ""leaf_spot"": 0.6032, ""leaf_blight"": 0.1686}",leaf_rust,0.2246
cmu4rw9hq0649yclnupkew48b,leaf_rust,leaf_spot,0.7456,"{""healthy"": 0.0129, ""leaf_rust"": 0.2217, ""leaf_spot"": 0.7456, ""leaf_blight"": 0.0198}",leaf_rust,0.2217
cmu4rwaai0699yclnrwhz08jy,leaf_rust,leaf_spot,0.5523,"{""healthy"": 0.0041, ""leaf_rust"": 0.3192, ""leaf_spot"": 0.5523, ""leaf_blight"": 0.1243}",leaf_rust,0.3192
cmu4rwbn606f3yclnwuw6xwoo,leaf_spot,leaf_blight,0.6484,"{""healthy"": 0.0011, ""leaf_rust"": 0.0322, ""leaf_spot"": 0.3183, ""leaf_blight"": 0.6484}",leaf_spot,0.3183
