image_id,true_label,predicted_label,confidence,probabilities,second_class,second_confidence
cmu4rvphu02k7yclnifq0ustr,leaf_blight,leaf_spot,0.5159,"{""healthy"": 0.0462, ""leaf_rust"": 0.0531, ""leaf_spot"": 0.5159, ""leaf_blight"": 0.3848}",leaf_blight,0.3848
cmu4rvqgc02q1yclnal9zs8w1,leaf_blight,leaf_spot,0.5242,"{""healthy"": 0.0332, ""leaf_rust"": 0.1229, ""leaf_spot"": 0.5242, ""leaf_blight"": 0.3197}",leaf_blight,0.3197
cmu4rvrac02w5yclng3slwcb7,leaf_blight,leaf_spot,0.5362,"{""healthy"": 0.0144, ""leaf_rust"": 0.0882, ""leaf_spot"": 0.5362, ""leaf_blight"": 0.3611}",leaf_blight,0.3611
cmu4rvrne02ynyclntol6plt7,leaf_blight,leaf_spot,0.4688,"{""healthy"": 0.0164, ""leaf_rust"": 0.0734, ""leaf_spot"": 0.4688, ""leaf_blight"": 0.4414}",leaf_blight,0.4414
cmu4rvsbo033xyclnmxp1du6e,leaf_blight,leaf_spot,0.5854,"{""healthy"": 0.0103, ""leaf_rust"": 0.0383, ""leaf_spot"": 0.5854, ""leaf_blight"": 0.366}",leaf_blight,0.366
cmu4rvtdh03bfyclnc8redqe1,leaf_blight,leaf_spot,0.4852,"{""healthy"": 0.0322, ""leaf_rust"": 0.312, ""leaf_spot"": 0.4852, ""leaf_blight"": 0.1706}",leaf_rust,0.312
cmu4rvuik03jcycln527d3ch8,leaf_blight,leaf_rust,0.4052,"{""healthy"": 0.006, ""leaf_rust"": 0.4052, ""leaf_spot"": 0.2048, ""leaf_blight"": 0.384}",leaf_blight,0.384
cmu4rvv3k03niyclnspbek33t,leaf_blight,leaf_spot,0.3938,"{""healthy"": 0.0566, ""leaf_rust"": 0.2371, ""leaf_spot"": 0.3938, ""leaf_blight"": 0.3125}",leaf_blight,0.3125
cmu4rvwth03zvyclnve6bazfw,leaf_blight,leaf_rust,0.4122,"{""healthy"": 0.0373, ""leaf_rust"": 0.4122, ""leaf_spot"": 0.2442, ""leaf_blight"": 0.3062}",leaf_blight,0.3062
cmu4rvxdf0428yclnairqm7qt,leaf_blight,leaf_spot,0.4821,"{""healthy"": 0.0263, ""leaf_rust"": 0.0754, ""leaf_spot"": 0.4821, ""leaf_blight"": 0.4163}",leaf_blight,0.4163
cmu4rvxfy042sycln1a36o3uj,leaf_blight,leaf_spot,0.5531,"{""healthy"": 0.0582, ""leaf_rust"": 0.034, ""leaf_spot"": 0.5531, ""leaf_blight"": 0.3546}",leaf_blight,0.3546
cmu4rvxi90437yclnvj2u64k0,leaf_blight,leaf_spot,0.6089,"{""healthy"": 0.0248, ""leaf_rust"": 0.1279, ""leaf_spot"": 0.6089, ""leaf_blight"": 0.2384}",leaf_blight,0.2384
cmu4rvxjm043hyclnbpuig6kg,leaf_blight,leaf_spot,0.4724,"{""healthy"": 0.0128, ""leaf_rust"": 0.1172, ""leaf_spot"": 0.4724, ""leaf_blight"": 0.3975}",leaf_blight,0.3975
cmu4rvxlt043wyclnx6my71v9,leaf_blight,leaf_spot,0.5008,"{""healthy"": 0.0258, ""leaf_rust"": 0.1768, ""leaf_spot"": 0.5008, ""leaf_blight"": 0.2967}",leaf_blight,0.2967
cmu4rvxu1045fyclnlrg3zgkl,leaf_blight,leaf_spot,0.3557,"{""healthy"": 0.0462, ""leaf_rust"": 0.2959, ""leaf_spot"": 0.3557, ""leaf_blight"": 0.3023}",leaf_blight,0.3023
cmu4rvxxx0464yclnwi967je2,leaf_blight,leaf_spot,0.4146,"{""healthy"": 0.0223, ""leaf_rust"": 0.1977, ""leaf_spot"": 0.4146, ""leaf_blight"": 0.3654}",leaf_blight,0.3654
cmu4rvxzh046eycln20z65me4,leaf_blight,leaf_spot,0.5652,"{""healthy"": 0.1054, ""leaf_rust"": 0.1766, ""leaf_spot"": 0.5652, ""leaf_blight"": 0.1528}",leaf_rust,0.1766
cmu4rvy07046jycln5uzs4n9m,leaf_blight,leaf_spot,0.4959,"{""healthy"": 0.0517, ""leaf_rust"": 0.1162, ""leaf_spot"": 0.4959, ""leaf_blight"": 0.3363}",leaf_blight,0.3363
cmu4rvy3x0478ycln93uzt6k2,leaf_blight,leaf_spot,0.5186,"{""healthy"": 0.1205, ""leaf_rust"": 0.1254, ""leaf_spot"": 0.5186, ""leaf_blight"": 0.2354}",leaf_blight,0.2354
cmu4rw1lz04s7yclnnjljhyd6,leaf_rust,leaf_spot,0.5971,"{""healthy"": 0.0009, ""leaf_rust"": 0.2952, ""leaf_spot"": 0.5971, ""leaf_blight"": 0.1068}",leaf_rust,0.2952
cmu4rw2gk04xhyclndevnaqgu,leaf_rust,leaf_spot,0.3721,"{""healthy"": 0.2467, ""leaf_rust"": 0.2447, ""leaf_spot"": 0.3721, ""leaf_blight"": 0.1366}",healthy,0.2467
cmu4rw2jr04y1yclnlakf874r,leaf_rust,leaf_spot,0.5719,"{""healthy"": 0.1635, ""leaf_rust"": 0.1829, ""leaf_spot"": 0.5719, ""leaf_blight"": 0.0817}",leaf_rust,0.1829
cmu4rw2ns04yqyclnx43naz5t,leaf_rust,leaf_spot,0.3905,"{""healthy"": 0.2114, ""leaf_rust"": 0.2726, ""leaf_spot"": 0.3905, ""leaf_blight"": 0.1255}",leaf_rust,0.2726
cmu4rw3mh053vyclnzsv30kor,leaf_rust,leaf_spot,0.5728,"{""healthy"": 0.0851, ""leaf_rust"": 0.2125, ""leaf_spot"": 0.5728, ""leaf_blight"": 0.1296}",leaf_rust,0.2125
cmu4rw4o305aeyclnb88ji2pm,leaf_rust,leaf_spot,0.424,"{""healthy"": 0.2061, ""leaf_rust"": 0.0778, ""leaf_spot"": 0.424, ""leaf_blight"": 0.2922}",leaf_blight,0.2922
cmu4rw4s005b8ycln3krwhxc3,leaf_rust,leaf_spot,0.4585,"{""healthy"": 0.0079, ""leaf_rust"": 0.3734, ""leaf_spot"": 0.4585, ""leaf_blight"": 0.1602}",leaf_rust,0.3734
cmu4rw57y05e5yclnof0l6mur,leaf_rust,leaf_spot,0.4482,"{""healthy"": 0.0389, ""leaf_rust"": 0.4252, ""leaf_spot"": 0.4482, ""leaf_blight"": 0.0877}",leaf_rust,0.4252
cmu4rw6tj05opycln1rm1xirt,leaf_rust,leaf_blight,0.4199,"{""healthy"": 0.0021, ""leaf_rust"": 0.2772, ""leaf_spot"": 0.3008, ""leaf_blight"": 0.4199}",leaf_spot,0.3008
cmu4rw6v305ozyclnlgsn9nw6,leaf_rust,leaf_spot,0.3927,"{""healthy"": 0.0727, ""leaf_rust"": 0.2756, ""leaf_spot"": 0.3927, ""leaf_blight"": 0.259}",leaf_rust,0.2756
cmu4rw6vw05p4yclnhioau4ux,leaf_rust,leaf_spot,0.5095,"{""healthy"": 0.0811, ""leaf_rust"": 0.1564, ""leaf_spot"": 0.5095, ""leaf_blight"": 0.253}",leaf_blight,0.253
