image_id,width,height,aspect_ratio,format,mode,size_bytes,flags,brightness_mean,contrast_std,sharpness_gradient
cmtfa7hz50cccyc875ifb3odi,1266,1728,0.733,jpeg,RGB,210761,"['unusually_high_contrast', 'possibly_blurry']",186.0,87.3,2.32
cmtfa7hz10cc7yc87sfgup3ra,1722,2735,0.63,jpeg,RGB,494198,"['unusually_high_contrast', 'possibly_blurry']",185.2,88.0,2.47
cmtfa7hyv0cc2yc87v7x16ymc,1836,2846,0.645,jpeg,RGB,520129,"['unusually_high_contrast', 'possibly_blurry']",178.7,86.8,2.2
cmtfa7hyr0cbxyc87gwxlcvmo,1824,2692,0.678,jpeg,RGB,394990,"['unusually_high_contrast', 'possibly_blurry']",173.5,88.1,1.36
cmtfa7hyn0cbsyc87x9ofz4o3,1836,2636,0.697,jpeg,RGB,577338,"['unusually_high_contrast', 'possibly_blurry']",160.5,95.9,2.67
cmtfa7hyh0cbnyc877ct6gedi,1358,2482,0.547,jpeg,RGB,253673,"['unusually_high_contrast', 'possibly_blurry']",177.8,98.1,1.39
cmtfa7hyd0cbiyc87pwsafs7s,1454,2133,0.682,jpeg,RGB,297553,['possibly_blurry'],191.0,78.8,2.15
cmtfa7hy80cbdyc87r2l3kcfz,1124,1674,0.671,jpeg,RGB,186174,"['unusually_high_contrast', 'possibly_blurry']",180.2,89.3,2.37
cmtfa7hy40cb8yc870nl6e9j0,1223,2134,0.573,jpeg,RGB,204160,"['unusually_high_contrast', 'possibly_blurry']",192.9,92.0,1.66
cmtfa7hy00cb3yc87p3byeuv4,1662,2198,0.756,jpeg,RGB,326854,"['unusually_high_contrast', 'possibly_blurry']",165.3,87.4,1.49
cmtfa7hxv0cayyc870xpi7xeb,1771,3247,0.545,jpeg,RGB,671179,"['unusually_high_contrast', 'possibly_blurry']",171.6,87.1,2.76
cmtfa7hxp0catyc87drgu3h4q,1379,2126,0.649,jpeg,RGB,269201,"['unusually_high_contrast', 'possibly_blurry']",177.6,93.2,1.96
cmtfa7hxl0caoyc87818fwfke,1836,2214,0.829,jpeg,RGB,525029,"['unusually_high_contrast', 'possibly_blurry']",161.3,88.8,3.18
cmtfa7hxh0cajyc87557l7su1,1555,2242,0.694,jpeg,RGB,327041,"['unusually_high_contrast', 'possibly_blurry']",164.1,97.5,1.85
cmtfa7hxa0caeyc87wrafgmo0,1440,2569,0.561,jpeg,RGB,338766,"['unusually_high_contrast', 'possibly_blurry']",180.2,96.8,2.09
cmtfa7hx60ca9yc8799rs1h69,1529,2161,0.708,jpeg,RGB,394068,"['unusually_high_contrast', 'possibly_blurry']",180.4,88.8,2.99
cmtfa7hx10ca4yc87d1jv5wxl,1512,2524,0.599,jpeg,RGB,311252,['possibly_blurry'],189.7,82.0,1.71
cmtfa7hwv0c9zyc87s4qkv16r,978,1631,0.6,jpeg,RGB,147077,"['unusually_high_contrast', 'possibly_blurry']",184.8,94.0,2.2
cmtfa7hwr0c9uyc87qjbnk3xt,1073,1875,0.572,jpeg,RGB,187516,"['unusually_high_contrast', 'possibly_blurry']",183.0,95.8,2.17
cmtfa7hwm0c9pyc87o3tqgl0f,1541,2565,0.601,jpeg,RGB,410932,['possibly_blurry'],187.9,83.7,2.54
cmtfa7hwd0c9kyc87o266vw49,1242,1505,0.825,jpeg,RGB,120626,['possibly_blurry'],201.0,82.5,1.11
cmtfa7hw80c9fyc87cwe4gk39,1367,2500,0.547,jpeg,RGB,365031,"['unusually_high_contrast', 'possibly_blurry']",168.9,99.2,2.6
cmtfa7hw10c9ayc87jm001v19,1296,1846,0.702,jpeg,RGB,226496,"['unusually_high_contrast', 'possibly_blurry']",174.5,100.6,2.18
cmtfa7hvu0c95yc87d7sybu58,1199,1981,0.605,jpeg,RGB,231964,"['unusually_high_contrast', 'possibly_blurry']",172.8,101.6,2.54
cmtfa7hvo0c90yc87gpsgd893,992,1694,0.586,jpeg,RGB,151890,['possibly_blurry'],193.0,84.5,2.19
cmtfa7hvj0c8vyc87saacjyws,1836,2765,0.664,jpeg,RGB,473582,"['unusually_high_contrast', 'possibly_blurry']",177.5,86.4,1.74
cmtfa7hvd0c8qyc873ium4ceh,1714,2143,0.8,jpeg,RGB,379949,"['unusually_high_contrast', 'possibly_blurry']",169.5,94.1,2.16
cmtfa7hv80c8lyc8730r10g77,1836,2665,0.689,jpeg,RGB,532631,"['unusually_high_contrast', 'possibly_blurry']",171.2,86.3,2.25
cmtfa7hv30c8gyc87rmj6oeng,1326,1833,0.723,jpeg,RGB,243050,"['unusually_high_contrast', 'possibly_blurry']",182.2,97.4,2.49
cmtfa7huy0c8byc877ar2n9aq,1836,2565,0.716,jpeg,RGB,381018,"['unusually_high_contrast', 'possibly_blurry']",180.3,89.6,1.41
cmtfa7hut0c86yc873icmjiu6,1731,2324,0.745,jpeg,RGB,440013,"['unusually_high_contrast', 'possibly_blurry']",173.3,89.2,2.26
cmtfa7huo0c81yc87zcc5fvp7,1236,2069,0.597,jpeg,RGB,206831,"['unusually_high_contrast', 'possibly_blurry']",186.7,88.4,1.71
cmtfa7huj0c7wyc87bh3htuii,1147,1631,0.703,jpeg,RGB,147980,['possibly_blurry'],193.6,83.3,1.69
cmtfa7hud0c7ryc87c79ho9qs,1836,2878,0.638,jpeg,RGB,619908,"['unusually_high_contrast', 'possibly_blurry']",164.7,95.0,3.12
cmtfa7hu70c7myc87ahy8u2ce,1409,2016,0.699,jpeg,RGB,314363,"['unusually_high_contrast', 'possibly_blurry']",179.5,91.4,2.7
cmtfa7hu20c7hyc87sjahs7en,1266,1924,0.658,jpeg,RGB,183955,"['unusually_high_contrast', 'possibly_blurry']",182.9,94.4,1.47
cmtfa7htx0c7cyc87mo6nqx6v,1836,2538,0.723,jpeg,RGB,573195,"['unusually_high_contrast', 'possibly_blurry']",170.4,94.5,3.12
cmtfa7htr0c77yc870mv0n3c5,1528,2215,0.69,jpeg,RGB,286674,['possibly_blurry'],186.6,82.0,1.79
cmtfa7htn0c72yc87ah89h61t,1517,2580,0.588,jpeg,RGB,378333,"['unusually_high_contrast', 'possibly_blurry']",187.1,87.6,2.23
cmtfa7hti0c6xyc87418wnj7a,1760,2398,0.734,jpeg,RGB,358994,['possibly_blurry'],188.4,79.0,1.74
cmtfa7htd0c6syc878fioe9dt,1836,3008,0.61,jpeg,RGB,561325,"['unusually_high_contrast', 'possibly_blurry']",183.6,86.2,1.99
cmtfa7ht80c6nyc870xlc4pty,1673,2370,0.706,jpeg,RGB,477369,"['unusually_high_contrast', 'possibly_blurry']",173.8,91.0,3.3
cmtfa7ht40c6iyc87rcn82a1u,1778,2298,0.774,jpeg,RGB,440336,"['unusually_high_contrast', 'possibly_blurry']",166.0,91.9,2.25
cmtfa7hsz0c6dyc87pqv7d3tt,1613,1852,0.871,jpeg,RGB,305648,['possibly_blurry'],180.8,85.0,2.27
cmtfa7hsu0c68yc87i8tiih3e,1184,2005,0.591,jpeg,RGB,191920,['possibly_blurry'],192.3,83.2,1.75
cmtfa7hsq0c63yc87c2yex9fe,1269,1956,0.649,jpeg,RGB,239564,"['unusually_high_contrast', 'possibly_blurry']",186.6,92.5,2.37
cmtfa7hsl0c5yyc87zhi2lsbq,1836,2678,0.686,jpeg,RGB,582525,"['unusually_high_contrast', 'possibly_blurry']",167.5,85.5,3.03
cmtfa7hsg0c5tyc87mw8x92in,1836,2949,0.623,jpeg,RGB,690945,"['unusually_high_contrast', 'possibly_blurry']",173.3,88.3,2.91
cmtfa7hsb0c5oyc87kz57u0lo,1044,1764,0.592,jpeg,RGB,136542,"['unusually_high_contrast', 'possibly_blurry']",175.7,99.5,1.39
cmtfa7hs60c5jyc87pp7u4esx,1178,1904,0.619,jpeg,RGB,165064,"['unusually_high_contrast', 'possibly_blurry']",196.9,88.2,1.52
cmtfa7hs10c5eyc87umee1j9j,1636,2444,0.669,jpeg,RGB,442800,"['unusually_high_contrast', 'possibly_blurry']",178.9,88.7,2.6
cmtfa7hrw0c59yc872k1bksy9,1836,3019,0.608,jpeg,RGB,629194,"['unusually_high_contrast', 'possibly_blurry']",171.7,89.2,2.62
cmtfa7hrr0c54yc879077xzqq,1738,2014,0.863,jpeg,RGB,405053,"['unusually_high_contrast', 'possibly_blurry']",172.1,91.3,2.8
cmtfa7hrn0c4zyc874ha6cmxs,1836,2650,0.693,jpeg,RGB,529962,"['unusually_high_contrast', 'possibly_blurry']",183.7,86.2,2.51
cmtfa7hri0c4uyc87okncshcv,1228,2099,0.585,jpeg,RGB,192892,['possibly_blurry'],192.9,84.9,1.51
cmtfa7hre0c4pyc875zjz0z0s,1147,1660,0.691,jpeg,RGB,154611,"['unusually_high_contrast', 'possibly_blurry']",184.6,95.9,1.71
cmtfa7hr90c4kyc87323m2dtd,1332,1972,0.675,jpeg,RGB,210155,"['unusually_high_contrast', 'possibly_blurry']",178.6,96.0,1.69
cmtfa7hr40c4fyc87yw027ikn,1836,2950,0.622,jpeg,RGB,594088,"['unusually_high_contrast', 'possibly_blurry']",178.0,88.3,2.47
